,Problem_Slug,Description,Plag_Slug_Percentage
0,yyb6oo,"Examine the below-given code and tell what the functionality will be done after the execution of the code?get detail() { return this.databse.set('email'); }
Email will be fetched from the database","[['yyb6oo', 92.95]]"
1,9depb5,"You are building a router module as shown in below code : You have a requirement to lazy load a Product Module with preload strategy for Data Binding.@NgModule({
imports: [
RouterModule.forRoot([
{ path: 'welcome', component: WelcomeComponent },
{
path: 'products',
canActivate: [AuthGuard],
data: { preload: false },
_____________: () =
import('./products/product.module').then(m = m.ProductModule)
},
{ path: '', redirectTo: 'welcome', pathMatch: 'full' },
{ path: '**', component: PageNotFoundComponent }
], { enableTracing: true, preloadingStrategy: SelectiveStrategy })
],
exports: [RouterModule]
}) 
Choose the correct options for the blank spaces?loadChildren
","[['9depb5', 84.24], ['q6gqp1', 77.66]]"
2,8y41dy,"Rick is trying to learn Angular frameworks and he is stuck with a problem, after looking at the book and even using the Internet he can't understand the problem, he approaches you to help him and tell him The following code is an example of which operator? :-return this.http
.get(this.url)
.retry(5);
Retry","[['8y41dy', 99.47], ['eew6oy', 81.09], ['gb6xxp', 77.09], ['8y41xn', 76.88], ['q6gq9p', 76.19], ['xqm4o1', 74.4], ['0qrme8', 74.12], ['xqm4dr', 73.21], ['lq1man', 71.38], ['8y41n3', 67.52], ['rld5eo', 65.81]]"
3,q6gq5d,"Please read the below code and consider that we have done two-way binding on x and the value of x=1234, then choose the correct answer.app.component.html
Number x : input type=""number"" [(ngModel)]=""x"" /
div{{x | number:'4.2-2'}}/div
0, 650.34
","[['q6gq5d', 90.74]]"
4,wpbada,"The following syntax is an example of ? import { Observable, throwError } from 'rxjs';
importing an observable from rxjs","[['wpbada', 90.63]]"
5,gb6xwr,"Allen is confused about how to use ngstyle properly. Help him by telling him the correct syntax for it?some-element [ngStyle]=""{'font-style': styleExp}"".../some-element
","[['gb6xwr', 70.99]]"
6,eew64m,"You are building a angular component where you need disabled a button using Data binding syntax.app.component.html : 
div
button _____=""isUnchanged""Save/button
/div
app.component.ts :
export class AppComponent {
@ViewChild('bindingInput') bindingInput!: ElementRef;
isUnchanged = true;
}
Choose the right option from the following?[disabled]
","[['eew64m', 84.76], ['0qrmgx', 77.44]]"
7,5ywqo3,"Which of the following input will be accepted by the form?this.userForm = this.fb.group({
student_name: ['', [Validators.required,Validators.pattern('[a-z]*$')]],
id: ['', [Validators.required,Validators.pattern('[a-z][0-2][0-9]')]]
});
john
a14
","[['5ywqo3', 88.2], ['bnve9y', 69.95], ['0qrm91', 66.3]]"
8,4g8r5x,"Oliver wants to make a reactive form in which there should be a restriction that a number should be a number only so which function is used for that?['', Validators.required]
","[['4g8r5x', 94.79]]"
9,3g1oqo,"Alina was using a type of form from Angular 7, then which of the following cannot be used?Firm","[['3g1oqo', 94.93]]"
10,lq14br,"Out of the Following options which one of them is the correct structure to create a component for subscribing service in Angular Framework?fetchUserProfile() {
this.userProfileService.getUserProfile()
.subscribe((data: User) = this.user = {
id: data['userId'],
name: data['firstName'],
city:data['city']
});
}
",[]
11,oq3lg1,"Read the following code and identify the error within the code?var source = Rx.Observable.from([1, 2, 3]);
var subject = new Rx.Subject();
var multicasted = source.multicast(subject);
multicasted.subscribe({
next: (v) = console.log('observerA: ' + v)
});
subscribe({
next: (v) = console.log('observerB: ' + v)
});
var source = Rx.Observable.from([1, 2, 3]);
var subject = new Rx.Subject();
var multicasted = source.multicast(subject);

multicasted.subscribe({
next: (v) = console.log('observerA: ' + v)
});
multicasted.subscribe({
next: (v) = console.log('observerB: ' + v)
});
","[['oq3lg1', 70.96]]"
12,wpbe8m,"Consider all the given options and select that which of the following option is correct for changing the value while getting it from the database and then setting the new one.setEmployee() {
let emloyee= {
name: ""VATS"",
ID: ""102"",
number: ""0000000000"",
};
this.reactiveForm.get(""Employee"").setValue(employee);
};
","[['wpbe8m', 78.24], ['eew6ay', 75.18]]"
13,vbg9g9,"Create a CSS collapse event where, when a user clicks on the button we retrieve the next sibling element and add/remove the show class on a sibling element to control the hide/show sibling element.import { Directive, ElementRef, HostListener, Renderer2 } from '@angular/core';

@Directive({
selector: '[appCollapse]'
})
export class CollapseDirective {
isShow = true;

constructor(private elRef: ElementRef, private renderer: Renderer2) { }
@HostListener('click', ['$event']) toggleOpen() {
const nextEl = this.renderer.nextSibling(this.elRef.nativeElement);
this.isShow = !this.isShow;
if (this.isShow) {
this.renderer.addClass(nextEl, 'show');
} else {
this.renderer.removeClass(nextEl, 'show');
}
}
}
",[]
14,5ywnw3,"Justin is working on validation on the min and max range. Help him to do his work properly.input type=""number"" name=""marks"" ng-model=""marks"" max=""100"" required
span style=""color:red"" ng-show=""myForm.marks.$dirty  myForm.marks.$invalid""
span ng-show=""myForm.marks.$error.required""Email is required./span
span ng-show=""myForm.marks.$error.number""Invalid number./span
span ng-show=""myForm.marks.$error.max""Max Percentage is 100./span
/span
","[['1q6x6e', 81.5], ['6y958r', 76.21]]"
15,xqm409,"FormControl statement should be passed in Angular 7, for displaying the output, select the option which will be displaying the data.app-name-editor/app-name-editor
","[['xqm409', 74.74]]"
16,eew6ay,"Consider all the given options and select which of the following option is correct for changing the value of the garage while getting it from the database and then setting the new one.setgarage() {
let garage= {
tyre: ""truck"",
accelerator: ""yes"",
number: ""0000000000"",
};
this.reactiveForm.get(""garage"").setValue(garage);
};
","[['eew6ay', 83.18], ['wpbe8m', 71.68]]"
